,Unnamed: 0,DiffDock Confidence,Affinity (kcal/mol)
7,7,-3.4,-1.22272
8,8,-3.53,-0.86691
9,9,-4.5,-0.3364
1,1,-2.28,0.82793
0,0,-1.64,2.52014
5,5,-2.85,3.62564
6,6,-3.07,3.71408
2,2,-2.45,42.17022
4,4,-2.78,51.25587
3,3,-2.64,53.79818
