,Unnamed: 0,DiffDock Confidence,Affinity (kcal/mol)
1,1,-1.05,-1.96644
3,3,-2.17,-1.70659
7,7,-3.22,-1.29997
8,8,-3.27,-1.1495
4,4,-2.48,-1.147
5,5,-2.67,-0.97838
6,6,-2.92,-0.76849
9,9,-3.38,1.77475
2,2,-1.24,4.32441
0,0,-0.82,14.81807
